Id no.,Type,Sentence,Bag_of_Words
274,Under Specified,Actions will be taken based on circumstances.,"{'actions': 1, 'will': 1, 'be': 1, 'taken': 1, 'based': 1, 'on': 1, 'circumstances': 1}"
275,Under Specified,The form must be filled out correctly.,"{'the': 1, 'form': 1, 'must': 1, 'be': 1, 'filled': 1, 'out': 1, 'correctly': 1}"
276,Under Specified,The policy applies to eligible candidates.,"{'the': 1, 'policy': 1, 'applies': 1, 'to': 1, 'eligible': 1, 'candidates': 1}"
277,Under Specified,Exceptions may be made on merit.,"{'exceptions': 1, 'may': 1, 'be': 1, 'made': 1, 'on': 1, 'merit': 1}"
278,Under Specified,Services are provided in accordance with terms.,"{'services': 1, 'are': 1, 'provided': 1, 'in': 1, 'accordance': 1, 'with': 1, 'terms': 1}"
279,Under Specified,Applications will be processed in phases.,"{'applications': 1, 'will': 1, 'be': 1, 'processed': 1, 'in': 1, 'phases': 1}"
280,Under Specified,The matter will be reviewed periodically.,"{'the': 1, 'matter': 1, 'will': 1, 'be': 1, 'reviewed': 1, 'periodically': 1}"
281,Under Specified,Obligations shall be fulfilled appropriately.,"{'obligations': 1, 'shall': 1, 'be': 1, 'fulfilled': 1, 'appropriately': 1}"
282,Under Specified,The service level will be determined later.,"{'the': 1, 'service': 1, 'level': 1, 'will': 1, 'be': 1, 'determined': 1, 'later': 1}"
283,Under Specified,Requirements must be met prior to approval.,"{'requirements': 1, 'must': 1, 'be': 1, 'met': 1, 'prior': 1, 'to': 1, 'approval': 1}"
284,Under Specified,Access shall be limited where necessary.,"{'access': 1, 'shall': 1, 'be': 1, 'limited': 1, 'where': 1, 'necessary': 1}"
285,Under Specified,The conditions may vary depending on usage.,"{'the': 1, 'conditions': 1, 'may': 1, 'vary': 1, 'depending': 1, 'on': 1, 'usage': 1}"
286,Under Specified,Provisions are subject to revision.,"{'provisions': 1, 'are': 1, 'subject': 1, 'to': 1, 'revision': 1}"
287,Under Specified,Clarifications can be sought if required.,"{'clarifications': 1, 'can': 1, 'be': 1, 'sought': 1, 'if': 1, 'required': 1}"
288,Under Specified,Authorization will be granted as per procedure.,"{'authorization': 1, 'will': 1, 'be': 1, 'granted': 1, 'as': 1, 'per': 1, 'procedure': 1}"
289,Under Specified,Users may be allowed to opt out.,"{'users': 1, 'may': 1, 'be': 1, 'allowed': 1, 'to': 1, 'opt': 1, 'out': 1}"
290,Under Specified,The request will be escalated if needed.,"{'the': 1, 'request': 1, 'will': 1, 'be': 1, 'escalated': 1, 'if': 1, 'needed': 1}"
291,Under Specified,Implementation shall follow standard practice.,"{'implementation': 1, 'shall': 1, 'follow': 1, 'standard': 1, 'practice': 1}"
292,Under Specified,Permission must be obtained from the competent department.,"{'permission': 1, 'must': 1, 'be': 1, 'obtained': 1, 'from': 1, 'the': 1, 'competent': 1, 'department': 1}"
293,Under Specified,Any disputes shall be resolved by the designated body.,"{'any': 1, 'disputes': 1, 'shall': 1, 'be': 1, 'resolved': 1, 'by': 1, 'the': 1, 'designated': 1, 'body': 1}"
294,Under Specified,The Company may terminate services if deemed necessary.,"{'the': 1, 'company': 1, 'may': 1, 'terminate': 1, 'services': 1, 'if': 1, 'deemed': 1, 'necessary': 1}"
295,Under Specified,The landlord may inspect the property periodically.,"{'the': 2, 'landlord': 1, 'may': 1, 'inspect': 1, 'property': 1, 'periodically': 1}"
296,Under Specified,Any damage must be reported immediately.,"{'any': 1, 'damage': 1, 'must': 1, 'be': 1, 'reported': 1, 'immediately': 1}"
297,Under Specified,The tenant shall ensure proper use of common areas.,"{'the': 1, 'tenant': 1, 'shall': 1, 'ensure': 1, 'proper': 1, 'use': 1, 'of': 1, 'common': 1, 'areas': 1}"
298,Under Specified,Additional charges may apply as needed.,"{'additional': 1, 'charges': 1, 'may': 1, 'apply': 1, 'as': 1, 'needed': 1}"
299,Under Specified,The security deposit will be refunded after due verification.,"{'the': 1, 'security': 1, 'deposit': 1, 'will': 1, 'be': 1, 'refunded': 1, 'after': 1, 'due': 1, 'verification': 1}"
300,Under Specified,Invoices will be processed promptly.,"{'invoices': 1, 'will': 1, 'be': 1, 'processed': 1, 'promptly': 1}"
301,Under Specified,Delays may attract applicable charges.,"{'delays': 1, 'may': 1, 'attract': 1, 'applicable': 1, 'charges': 1}"
302,Under Specified,Changes may be incorporated upon review.,"{'changes': 1, 'may': 1, 'be': 1, 'incorporated': 1, 'upon': 1, 'review': 1}"
303,Under Specified,Appointments may be rescheduled due to unavoidable reasons.,"{'appointments': 1, 'may': 1, 'be': 1, 'rescheduled': 1, 'due': 1, 'to': 1, 'unavoidable': 1, 'reasons': 1}"
304,Under Specified,Coverage may depend on policy conditions.,"{'coverage': 1, 'may': 1, 'depend': 1, 'on': 1, 'policy': 1, 'conditions': 1}"
305,Under Specified,Claims will be assessed appropriately.,"{'claims': 1, 'will': 1, 'be': 1, 'assessed': 1, 'appropriately': 1}"
306,Under Specified,Emergency care will be provided as necessary.,"{'emergency': 1, 'care': 1, 'will': 1, 'be': 1, 'provided': 1, 'as': 1, 'necessary': 1}"
307,Under Specified,Authorization may be needed in certain cases.,"{'authorization': 1, 'may': 1, 'be': 1, 'needed': 1, 'in': 1, 'certain': 1, 'cases': 1}"
308,Under Specified,Medicines should be taken as directed.,"{'medicines': 1, 'should': 1, 'be': 1, 'taken': 1, 'as': 1, 'directed': 1}"
309,Under Specified,The applicant may be granted relief based on circumstances.,"{'the': 1, 'applicant': 1, 'may': 1, 'be': 1, 'granted': 1, 'relief': 1, 'based': 1, 'on': 1, 'circumstances': 1}"
310,Under Specified,"Documents must be submitted in the prescribed manner, if any.","{'documents': 1, 'must': 1, 'be': 1, 'submitted': 1, 'in': 1, 'the': 1, 'prescribed': 1, 'manner': 1, 'if': 1, 'any': 1}"
311,Under Specified,"All notices must be complied with, as applicable.","{'all': 1, 'notices': 1, 'must': 1, 'be': 1, 'complied': 1, 'with': 1, 'as': 1, 'applicable': 1}"
312,Under Specified,The decision will be communicated in due course of time.,"{'the': 1, 'decision': 1, 'will': 1, 'be': 1, 'communicated': 1, 'in': 1, 'due': 1, 'course': 1, 'of': 1, 'time': 1}"
313,Under Specified,The complaint may be escalated if required.,"{'the': 1, 'complaint': 1, 'may': 1, 'be': 1, 'escalated': 1, 'if': 1, 'required': 1}"
314,Under Specified,Fees may be waived in deserving cases.,"{'fees': 1, 'may': 1, 'be': 1, 'waived': 1, 'in': 1, 'deserving': 1, 'cases': 1}"
315,Under Specified,You may be assigned additional duties from time to time.,"{'you': 1, 'may': 1, 'be': 1, 'assigned': 1, 'additional': 1, 'duties': 1, 'from': 1, 'time': 2, 'to': 1}"
316,Under Specified,The shift schedule is subject to change as per operational needs.,"{'the': 1, 'shift': 1, 'schedule': 1, 'is': 1, 'subject': 1, 'to': 1, 'change': 1, 'as': 1, 'per': 1, 'operational': 1, 'needs': 1}"
317,Under Specified,Your responsibilities may expand based on business demands.,"{'your': 1, 'responsibilities': 1, 'may': 1, 'expand': 1, 'based': 1, 'on': 1, 'business': 1, 'demands': 1}"
318,Under Specified,Leave will be granted depending on the merits of the request.,"{'leave': 1, 'will': 1, 'be': 1, 'granted': 1, 'depending': 1, 'on': 1, 'the': 2, 'merits': 1, 'of': 1, 'request': 1}"
319,Under Specified,Training sessions may be organized whenever needed.,"{'training': 1, 'sessions': 1, 'may': 1, 'be': 1, 'organized': 1, 'whenever': 1, 'needed': 1}"
320,Under Specified,Your probation may be extended for reasons deemed fit.,"{'your': 1, 'probation': 1, 'may': 1, 'be': 1, 'extended': 1, 'for': 1, 'reasons': 1, 'deemed': 1, 'fit': 1}"
321,Under Specified,Additional charges may apply under special conditions.,"{'additional': 1, 'charges': 1, 'may': 1, 'apply': 1, 'under': 1, 'special': 1, 'conditions': 1}"
322,Under Specified,The client may seek modifications after review.,"{'the': 1, 'client': 1, 'may': 1, 'seek': 1, 'modifications': 1, 'after': 1, 'review': 1}"
323,Under Specified,All deliverables must meet adequate standards.,"{'all': 1, 'deliverables': 1, 'must': 1, 'meet': 1, 'adequate': 1, 'standards': 1}"
324,Under Specified,Payments may be adjusted based on final reconciliation.,"{'payments': 1, 'may': 1, 'be': 1, 'adjusted': 1, 'based': 1, 'on': 1, 'final': 1, 'reconciliation': 1}"
325,Under Specified,Work may be rescheduled due to operational constraints.,"{'work': 1, 'may': 1, 'be': 1, 'rescheduled': 1, 'due': 1, 'to': 1, 'operational': 1, 'constraints': 1}"
326,Under Specified,The vendor must take necessary measures to prevent delays.,"{'the': 1, 'vendor': 1, 'must': 1, 'take': 1, 'necessary': 1, 'measures': 1, 'to': 1, 'prevent': 1, 'delays': 1}"
327,Under Specified,The agreement may be revised subject to mutual understanding.,"{'the': 1, 'agreement': 1, 'may': 1, 'be': 1, 'revised': 1, 'subject': 1, 'to': 1, 'mutual': 1, 'understanding': 1}"
328,Under Specified,The project may require extensions based on requirements.,"{'the': 1, 'project': 1, 'may': 1, 'require': 1, 'extensions': 1, 'based': 1, 'on': 1, 'requirements': 1}"
329,Under Specified,Repairs will be undertaken as and when necessary.,"{'repairs': 1, 'will': 1, 'be': 1, 'undertaken': 1, 'as': 1, 'and': 1, 'when': 1, 'necessary': 1}"
330,Under Specified,Attendance rules may be relaxed under genuine circumstances.,"{'attendance': 1, 'rules': 1, 'may': 1, 'be': 1, 'relaxed': 1, 'under': 1, 'genuine': 1, 'circumstances': 1}"
331,Under Specified,The committee may reconsider the matter if required.,"{'the': 2, 'committee': 1, 'may': 1, 'reconsider': 1, 'matter': 1, 'if': 1, 'required': 1}"
332,Under Specified,Additional credit may be given at the discretion of faculty.,"{'additional': 1, 'credit': 1, 'may': 1, 'be': 1, 'given': 1, 'at': 1, 'the': 1, 'discretion': 1, 'of': 1, 'faculty': 1}"
333,Under Specified,Permission for leave will be decided case by case.,"{'permission': 1, 'for': 1, 'leave': 1, 'will': 1, 'be': 1, 'decided': 1, 'case': 2, 'by': 1}"
334,Under Specified,Library hours may change depending on availability.,"{'library': 1, 'hours': 1, 'may': 1, 'change': 1, 'depending': 1, 'on': 1, 'availability': 1}"
335,Under Specified,Supplementary exams may be conducted if necessary.,"{'supplementary': 1, 'exams': 1, 'may': 1, 'be': 1, 'conducted': 1, 'if': 1, 'necessary': 1}"
336,Under Specified,Guidelines will be updated as and when needed.,"{'guidelines': 1, 'will': 1, 'be': 1, 'updated': 1, 'as': 1, 'and': 1, 'when': 1, 'needed': 1}"
